券商買賣股票成交價量資訊
股票代碼,"=""5434"""
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,81.00,1000,0,,2,1020合　　庫,81.50,1000,0 
3,1021合庫台中,81.00,1000,0,,4,102C合庫自強,81.20,10000,0 
5,102E合庫桃園,81.20,2000,0,,6,102F合庫西台,81.20,0,1000 
7,102F合庫西台,81.30,1000,0,,8,1032土銀台南,81.10,1000,0 
9,1032土銀台南,81.40,1000,0,,10,1036土銀玉里,81.10,0,2000 
11,103A土銀建國,81.30,1000,0,,12,1040臺    銀,81.10,1000,0 
13,1041臺銀鳳山,81.00,5000,0,,14,1041臺銀鳳山,81.20,2000,5000 
15,1041臺銀鳳山,81.30,2000,0,,16,1041臺銀鳳山,81.40,1000,0 
17,1041臺銀鳳山,81.50,2000,0,,18,1041臺銀鳳山,81.60,2000,0 
19,1041臺銀鳳山,82.00,0,1000,,20,1042臺銀臺南,81.10,2000,0 
21,1042臺銀臺南,82.00,2000,0,,22,1043臺銀民權,81.20,0,3000 
23,104D臺銀金山,81.00,1000,0,,24,104D臺銀金山,81.50,5000,0 
25,111C台企三民,81.20,1000,0,,26,1160日    盛,81.20,1000,0 
27,1161日盛忠孝,82.00,1000,1000,,28,1165日盛板橋,81.10,1000,1000 
29,1165日盛板橋,81.20,3000,2000,,30,1168日盛高雄,81.00,2000,0 
31,1168日盛高雄,81.10,1000,0,,32,1168日盛高雄,81.40,1000,0 
33,116A日盛木柵,81.20,1000,0,,34,116c日盛豐原,81.40,1000,0 
35,116C日盛八德,81.30,0,1000,,36,116e日盛竹北,81.10,1000,0 
37,116F日盛員林,81.20,0,1000,,38,116F日盛員林,82.40,1000,0 
39,116G日盛景美,81.50,2000,0,,40,116H日盛新竹,81.00,1000,0 
41,116H日盛新竹,81.20,1000,1000,,42,116H日盛新竹,81.30,2000,0 
43,116H日盛新竹,81.50,1000,0,,44,116i日盛樹林,81.20,2000,0 
45,116I日盛南京,81.20,0,1000,,46,116j日盛頭份,81.00,2000,0 
47,116N日盛永康,81.00,1000,0,,48,116P日盛信義,81.70,1000,0 
49,116P日盛信義,82.00,0,43,,50,116r日盛文化,81.00,1000,0 
51,116V日盛斗六,81.10,0,4000,,52,116V日盛斗六,81.20,1000,0 
53,116X日盛宜蘭,81.20,2000,0,,54,1230彰    銀,81.00,1000,0 
55,1232彰銀七賢,81.30,1000,0,,56,1233彰銀台中,81.50,0,1000 
57,1260宏    遠,81.10,1000,0,,58,1261宏遠民生,81.30,4000,0 
59,1262宏遠桃園,81.30,1000,0,,60,126D宏遠台南,81.10,4000,0 
61,1440美林,81.10,1000,6000,,62,1440美林,81.20,2000,3000 
63,1440美林,81.30,4000,0,,64,1440美林,81.40,1000,1000 
65,1440美林,81.50,1000,0,,66,1440美林,81.70,1000,1000 
67,1440美林,82.00,1000,0,,68,1470台灣摩根,81.10,2000,4000 
69,1470台灣摩根,81.20,7000,0,,70,1470台灣摩根,81.30,1000,0 
71,1470台灣摩根,81.90,0,3000,,72,1480美商高盛,81.10,6000,0 
73,1480美商高盛,81.20,1000,0,,74,1480美商高盛,81.30,1000,0 
75,1480美商高盛,81.40,1000,0,,76,1480美商高盛,81.70,1000,0 
77,1480美商高盛,81.80,1000,0,,78,1480美商高盛,82.00,1000,0 
79,1520瑞士信貸,81.00,0,5000,,80,1520瑞士信貸,81.10,0,16000 
81,1520瑞士信貸,81.20,0,14000,,82,1520瑞士信貸,81.30,0,7000 
83,1520瑞士信貸,81.40,0,1000,,84,1520瑞士信貸,81.50,0,8000 
85,1520瑞士信貸,81.60,0,2000,,86,1520瑞士信貸,81.70,0,1000 
87,1520瑞士信貸,81.80,0,1000,,88,1520瑞士信貸,82.20,0,4000 
89,1530德意志,81.10,0,2000,,90,1530德意志,81.20,1000,4000 
91,1530德意志,81.30,0,2000,,92,1590花旗環球,81.00,0,10000 
93,1590花旗環球,81.10,0,14000,,94,1590花旗環球,81.20,0,43000 
95,1590花旗環球,81.30,0,49000,,96,1590花旗環球,81.40,0,5000 
97,1590花旗環球,81.50,0,3000,,98,1590花旗環球,81.60,0,6000 
99,1590花旗環球,81.80,0,1000,,100,1590花旗環球,82.00,0,5000 
101,1590花旗環球,82.20,0,1000,,102,1650瑞銀,81.00,0,1000 
103,1650瑞銀,81.10,1000,0,,104,1650瑞銀,81.20,0,1000 
105,1650瑞銀,81.30,0,3000,,106,1650瑞銀,81.80,0,2000 
107,1650瑞銀,82.00,1000,0,,108,2180亞    東,81.10,1000,0 
109,5050大    展,81.20,1000,0,,110,5263大慶泰山,81.30,2000,0 
111,5265大慶苗栗,81.30,2000,0,,112,526K大慶富順,82.00,0,21 
113,5320高    橋,81.00,1000,3000,,114,5320高    橋,81.10,1000,6000 
115,5320高    橋,81.20,0,4000,,116,5320高    橋,81.30,0,2000 
117,5321高橋龍潭,81.60,5000,0,,118,5323高橋內壢,81.00,2000,0 
119,5323高橋內壢,81.70,2000,0,,120,5384第一台南,81.20,0,1000 
121,5385第一桃園,81.20,1000,0,,122,538C第一光復,81.10,1000,0 
123,538I第一頭份,81.10,1000,0,,124,538I第一頭份,81.20,1000,0 
125,538M第一嘉義,81.10,10000,0,,126,538M第一嘉義,81.20,10000,0 
127,538M第一嘉義,81.50,10000,0,,128,538W第一華江,81.10,1000,0 
129,5850統    一,81.00,0,14000,,130,5850統    一,81.10,15000,24000 
131,5850統    一,81.20,15000,26000,,132,5850統    一,81.30,5000,12000 
133,5850統    一,81.40,2000,0,,134,5850統    一,81.50,1000,0 
135,5850統    一,81.90,2000,0,,136,5850統    一,82.00,3000,0 
137,5852統一敦南,81.40,1000,0,,138,5853統一中壢,81.10,1000,0 
139,5853統一中壢,81.70,1000,0,,140,5853統一中壢,82.20,0,1000 
